iter	Passed	Remaining
0	1	180
1	3	158
2	4	141
3	5	125
4	6	119
5	7	115
6	8	112
7	9	111
8	10	108
9	11	106
10	12	104
11	13	102
12	14	99
13	16	98
14	17	97
15	18	94
16	19	92
17	19	90
18	20	88
19	21	87
20	22	85
21	23	83
22	24	81
23	25	79
24	25	77
25	27	76
26	28	76
27	29	74
28	29	73
29	30	71
30	31	69
31	32	68
32	32	66
33	33	65
34	34	63
35	35	62
36	36	61
37	36	59
38	37	58
39	38	57
40	38	55
41	39	54
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	46
49	46	46
50	47	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	55	36
60	56	35
61	56	34
62	58	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	88	2
97	89	1
98	90	0
99	91	0
